word,drm_list,cb_list,position,item,list_BAS,list_valence,list_arousal,valence,arousal,emotion
war,war,A,0,critical,NaN,3.55,6.06,2.23,6.27,negative
battle,war,A,1,target,NaN,3.55,6.06,NaN,NaN,negative
bomb,war,A,2,target,NaN,3.55,6.06,NaN,NaN,negative
fight,war,A,3,target,NaN,3.55,6.06,NaN,NaN,negative
revolution,war,A,4,target,NaN,3.55,6.06,NaN,NaN,negative
nuclear,war,A,5,target,NaN,3.55,6.06,NaN,NaN,negative
missile,war,A,6,target,NaN,3.55,6.06,NaN,NaN,negative
soldier,war,A,7,target,NaN,3.55,6.06,NaN,NaN,negative
gun,war,A,8,target,NaN,3.55,6.06,NaN,NaN,negative
destruction,war,A,9,target,NaN,3.55,6.06,NaN,NaN,negative
defeat,war,A,10,target,NaN,3.55,6.06,NaN,NaN,negative
ammunition,war,A,11,related,NaN,3.55,6.06,NaN,NaN,negative
fear,fear,A,0,critical,NaN,2.96,5.67,2.93,6.14,negative
terror,fear,A,1,target,NaN,2.96,5.67,NaN,NaN,negative
fright,fear,A,2,target,NaN,2.96,5.67,NaN,NaN,negative
anxiety,fear,A,3,target,NaN,2.96,5.67,NaN,NaN,negative
afraid,fear,A,4,target,NaN,2.96,5.67,NaN,NaN,negative
panic,fear,A,5,target,NaN,2.96,5.67,NaN,NaN,negative
scared,fear,A,6,target,NaN,2.96,5.67,NaN,NaN,negative
horror,fear,A,7,target,NaN,2.96,5.67,NaN,NaN,negative
monster,fear,A,8,target,NaN,2.96,5.67,NaN,NaN,negative
scream,fear,A,9,target,NaN,2.96,5.67,NaN,NaN,negative
darkness,fear,A,10,target,NaN,2.96,5.67,NaN,NaN,negative
dreaded,fear,A,11,related,NaN,2.96,5.67,NaN,NaN,negative
sad,sad,A,0,critical,0.27,6.75,5.25,2.1,3.49,negative
unhappy,sad,A,1,target,0.27,6.75,5.25,NaN,NaN,negative
sorrow,sad,A,2,target,0.27,6.75,5.25,NaN,NaN,negative
cry,sad,A,3,target,0.27,6.75,5.25,NaN,NaN,negative
upset,sad,A,4,target,0.27,6.75,5.25,NaN,NaN,negative
tears,sad,A,5,target,0.27,6.75,5.25,NaN,NaN,negative
down,sad,A,6,target,0.27,6.75,5.25,NaN,NaN,negative
suicide,sad,A,7,target,0.27,6.75,5.25,NaN,NaN,negative
awful,sad,A,8,target,0.27,6.75,5.25,NaN,NaN,negative
distress,sad,A,9,target,0.27,6.75,5.25,NaN,NaN,negative
grief,sad,A,10,target,0.27,6.75,5.25,NaN,NaN,negative
low,sad,A,11,related,0.27,6.75,5.25,NaN,NaN,negative
hell,hell,A,0,critical,NaN,NaN,NaN,2.55,6.26,negative
devil,hell,A,1,target,NaN,NaN,NaN,NaN,NaN,negative
satan,hell,A,2,target,NaN,NaN,NaN,NaN,NaN,negative
evil,hell,A,3,target,NaN,NaN,NaN,NaN,NaN,negative
damned,hell,A,4,target,NaN,NaN,NaN,NaN,NaN,negative
sin,hell,A,5,target,NaN,NaN,NaN,NaN,NaN,negative
lucifer,hell,A,6,target,NaN,NaN,NaN,NaN,NaN,negative
demon,hell,A,7,target,NaN,NaN,NaN,NaN,NaN,negative
heaven,hell,A,8,target,NaN,NaN,NaN,NaN,NaN,negative
soul,hell,A,9,target,NaN,NaN,NaN,NaN,NaN,negative
judgement,hell,A,10,target,NaN,NaN,NaN,NaN,NaN,negative
infernal,hell,A,11,related,NaN,NaN,NaN,NaN,NaN,negative
trash,trash,A,0,critical,NaN,3.87,3.87,2.74,3.66,negative
garbage,trash,A,1,target,NaN,3.87,3.87,NaN,NaN,negative
waste,trash,A,2,target,NaN,3.87,3.87,NaN,NaN,negative
can,trash,A,3,target,NaN,3.87,3.87,NaN,NaN,negative
